"","event-id","visible","timestamp","gps:activity-count","argos:altitude","battery-charging-current","cpu-temperature","external-temperature","gps:dop","gps:fix-type-raw","gps:satellite-count","gps:twilight","height-above-ellipsoid","lat-upper","long-upper","mortality-status","transmission-protocol","sensor-type","individual-taxon-canonical-name","tag-local-identifier","individual-local-identifier","study-name","Date","Time","Year","Month","Day","location-long","location-lat"
"36",23489298974,TRUE,2021-08-03 23:00:20,NA,NA,NA,24,NA,3.2,"3D valid GPS Fix",4,"BRIGHT",89,NA,NA,"Mortality no radius","Collar","gps","",47786,"","Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY",2021-08-03,"23:00:20","2021","08","03",-72.4645910249425,41.5061126397307
"37",23489299144,TRUE,2021-08-04 00:00:38,NA,NA,NA,20,NA,2.8,"3D valid GPS Fix",3,"BRIGHT",116,NA,NA,"Mortality no radius","Iridium TCP","gps","",47786,"","Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY",2021-08-04,"00:00:38","2021","08","04",-72.4646247340532,41.5060881639471
"38",23489298975,TRUE,2021-08-04 01:00:38,NA,NA,NA,18,NA,2.2,"3D valid GPS Fix",4,"TWILIGHT",96,NA,NA,"Mortality no radius","Collar","gps","",47786,"","Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY",2021-08-04,"01:00:38","2021","08","04",-72.4645982424985,41.5061552026811
"39",23489298976,TRUE,2021-08-04 02:00:16,NA,NA,NA,17,NA,4.6,"3D valid GPS Fix",3,"DARK",139,NA,NA,"Mortality no radius","Collar","gps","",47786,"","Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY",2021-08-04,"02:00:16","2021","08","04",-72.4644757091404,41.5059540120841
"40",23489298977,TRUE,2021-08-04 03:00:35,NA,NA,NA,16,NA,2,"3D valid GPS Fix",5,"DARK",89,NA,NA,"Mortality no radius","Collar","gps","",47786,"","Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY",2021-08-04,"03:00:35","2021","08","04",-72.464622273738,41.5061830451996
"41",23489299145,TRUE,2021-08-04 04:00:40,NA,NA,NA,15,NA,3.4,"3D valid GPS Fix",5,"DARK",90,NA,NA,"Mortality no radius","Iridium TCP","gps","",47786,"","Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY",2021-08-04,"04:00:40","2021","08","04",-72.4645621546609,41.5062255831168
"42",23489298978,TRUE,2021-08-04 05:00:10,NA,NA,NA,15,NA,6.8,"3D valid GPS Fix",4,"DARK",77,NA,NA,"Mortality no radius","Collar","gps","",47786,"","Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY",2021-08-04,"05:00:10","2021","08","04",-72.4644274810232,41.5062120475915
"43",23489298979,TRUE,2021-08-04 06:00:29,NA,NA,NA,14,NA,5.4,"3D valid GPS Fix",4,"DARK",109,NA,NA,"Mortality no radius","Collar","gps","",47786,"","Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY",2021-08-04,"06:00:29","2021","08","04",-72.4645056856666,41.5061705154749
"44",23489298980,TRUE,2021-08-04 07:00:40,NA,NA,NA,14,NA,3,"3D valid GPS Fix",5,"DARK",95,NA,NA,"Mortality no radius","Collar","gps","",47786,"","Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY",2021-08-04,"07:00:40","2021","08","04",-72.4644623801019,41.5061848474678
"45",23489299146,TRUE,2021-08-04 08:00:40,NA,NA,NA,14,NA,4.8,"3D valid GPS Fix",4,"DARK",71,NA,NA,"Mortality no radius","Iridium TCP","gps","",47786,"","Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY",2021-08-04,"08:00:40","2021","08","04",-72.4644431053814,41.5061865656426
"46",23489298981,TRUE,2021-08-04 09:00:26,NA,NA,NA,14,NA,4.6,"3D valid GPS Fix",4,"TWILIGHT",107,NA,NA,"Mortality no radius","Collar","gps","",47786,"","Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY",2021-08-04,"09:00:26","2021","08","04",-72.4644588128348,41.5060446793432
"47",23489298982,TRUE,2021-08-04 10:00:39,NA,NA,NA,14,NA,2.2,"3D valid GPS Fix",5,"BRIGHT",73,NA,NA,"Mortality no radius","Collar","gps","",47786,"","Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY",2021-08-04,"10:00:39","2021","08","04",-72.4645032246684,41.5061709987001
"48",23489298983,TRUE,2021-08-04 11:00:11,NA,NA,NA,14,NA,5.2,"3D valid GPS Fix",4,"BRIGHT",80,NA,NA,"Mortality no radius","Collar","gps","",47786,"","Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY",2021-08-04,"11:00:11","2021","08","04",-72.4644034500072,41.5061572339513
"49",23489299147,TRUE,2021-08-04 12:00:38,NA,NA,NA,16,NA,3.4,"3D valid GPS Fix",5,"BRIGHT",87,NA,NA,"Mortality no radius","Iridium TCP","gps","",47786,"","Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY",2021-08-04,"12:00:38","2021","08","04",-72.4645537478594,41.506131802186
"50",23489298984,TRUE,2021-08-04 13:00:26,NA,NA,NA,20,NA,3,"3D valid GPS Fix",4,"BRIGHT",128,NA,NA,"Mortality no radius","Collar","gps","",47786,"","Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY",2021-08-04,"13:00:26","2021","08","04",-72.4645862679131,41.5061639919888
"51",23489298985,TRUE,2021-08-04 14:00:43,NA,NA,NA,23,NA,2.4,"3D valid GPS Fix",5,"BRIGHT",82,NA,NA,"Mortality no radius","Collar","gps","",47786,"","Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY",2021-08-04,"14:00:43","2021","08","04",-72.4644106676527,41.5061458549567
"52",23489298986,TRUE,2021-08-04 15:00:39,NA,NA,NA,25,NA,3,"3D valid GPS Fix",4,"BRIGHT",91,NA,NA,"Mortality no radius","Collar","gps","",47786,"","Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY",2021-08-04,"15:00:39","2021","08","04",-72.4645248774991,41.5062852019871
"53",23489299148,TRUE,2021-08-04 16:00:13,NA,NA,NA,26,NA,6.4,"3D valid GPS Fix",4,"BRIGHT",77,NA,NA,"Mortality no radius","Iridium TCP","gps","",47786,"","Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY",2021-08-04,"16:00:13","2021","08","04",-72.464480382663,41.5062078596803
"54",23489298987,TRUE,2021-08-04 17:00:38,NA,NA,NA,27,NA,2.4,"3D valid GPS Fix",6,"BRIGHT",86,NA,NA,"Mortality no radius","Collar","gps","",47786,"","Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY",2021-08-04,"17:00:38","2021","08","04",-72.4645248774991,41.5062312601293
"55",23489298988,TRUE,2021-08-04 18:00:13,NA,NA,NA,29,NA,4.6,"3D valid GPS Fix",4,"BRIGHT",90,NA,NA,"Mortality no radius","Collar","gps","",47786,"","Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY",2021-08-04,"18:00:13","2021","08","04",-72.4647160205181,41.506394261521
"56",23489298989,TRUE,2021-08-04 19:00:40,NA,NA,NA,27,NA,2.4,"3D valid GPS Fix",6,"BRIGHT",87,NA,NA,"Mortality no radius","Collar","gps","",47786,"","Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY",2021-08-04,"19:00:40","2021","08","04",-72.4645164707264,41.5061779356261
"57",23489299149,TRUE,2021-08-04 20:00:11,NA,NA,NA,25,NA,2.4,"3D valid GPS Fix",5,"BRIGHT",89,NA,NA,"Mortality no radius","Iridium TCP","gps","",47786,"","Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY",2021-08-04,"20:00:11","2021","08","04",-72.4645320950978,41.5062333665933
"58",23489298990,TRUE,2021-08-04 21:00:21,NA,NA,NA,23,NA,5,"3D valid GPS Fix",4,"BRIGHT",100,NA,NA,"Mortality no radius","Collar","gps","",47786,"","Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY",2021-08-04,"21:00:21","2021","08","04",-72.4645297167282,41.5061713870627
"59",23489298991,TRUE,2021-08-04 22:01:38,NA,NA,NA,21,NA,4,"3D valid GPS Fix",4,"BRIGHT",92,NA,NA,"Mortality no radius","Collar","gps","",47786,"","Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY",2021-08-04,"22:01:38","2021","08","04",-72.4645236883218,41.5062070130608
"60",23489298992,TRUE,2021-08-04 23:00:38,NA,NA,NA,21,NA,2.6,"3D valid GPS Fix",3,"BRIGHT",112,NA,NA,"Mortality no radius","Collar","gps","",47786,"","Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY",2021-08-04,"23:00:38","2021","08","04",-72.4646175165384,41.5060725719837
